<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,1,20210618,003300,1.1905600,1.1907700,1.1904200,1.1904900,81
EURUSD,1,20210618,003400,1.1904800,1.1907300,1.1904700,1.1905700,128
EURUSD,1,20210618,003500,1.1906000,1.1907600,1.1904300,1.1907500,46
EURUSD,1,20210618,003600,1.1906600,1.1907500,1.1904400,1.1906700,95
EURUSD,1,20210618,003700,1.1906000,1.1907000,1.1904400,1.1904900,61
EURUSD,1,20210618,003800,1.1905400,1.1907700,1.1904400,1.1905400,44
EURUSD,1,20210618,003900,1.1906000,1.1907700,1.1904400,1.1905300,79
EURUSD,1,20210618,004000,1.1907000,1.1907600,1.1904400,1.1906100,102
EURUSD,1,20210618,004100,1.1906000,1.1908000,1.1904400,1.1906000,233
EURUSD,1,20210618,004200,1.1906000,1.1907300,1.1904700,1.1906000,74
EURUSD,1,20210618,004300,1.1904800,1.1908200,1.1904600,1.1907400,78
EURUSD,1,20210618,004400,1.1907400,1.1908300,1.1904900,1.1906900,64
EURUSD,1,20210618,004500,1.1908100,1.1908200,1.1904600,1.1907400,95
EURUSD,1,20210618,004600,1.1905800,1.1908200,1.1905100,1.1906900,98
EURUSD,1,20210618,004700,1.1906000,1.1908300,1.1904600,1.1905600,162
EURUSD,1,20210618,004800,1.1908100,1.1908100,1.1904900,1.1907000,37
EURUSD,1,20210618,004900,1.1906600,1.1907400,1.1905000,1.1907000,99
EURUSD,1,20210618,005000,1.1907000,1.1908200,1.1904900,1.1905900,103
EURUSD,1,20210618,005100,1.1907000,1.1908200,1.1904600,1.1905900,129
EURUSD,1,20210618,005200,1.1907100,1.1908400,1.1905100,1.1907000,148
EURUSD,1,20210618,005300,1.1907300,1.1908400,1.1905200,1.1907300,196
EURUSD,1,20210618,005400,1.1908300,1.1908600,1.1905200,1.1908000,97
EURUSD,1,20210618,005500,1.1906700,1.1908500,1.1905300,1.1906700,232
EURUSD,1,20210618,005600,1.1907000,1.1908500,1.1905400,1.1907000,104
EURUSD,1,20210618,005700,1.1906900,1.1908400,1.1905400,1.1907000,65
EURUSD,1,20210618,005800,1.1906500,1.1908500,1.1905200,1.1906700,266
EURUSD,1,20210618,005900,1.1906700,1.1908400,1.1904900,1.1907000,169
EURUSD,1,20210618,010000,1.1907100,1.1908500,1.1903900,1.1905000,224
EURUSD,1,20210618,010100,1.1905100,1.1908100,1.1904800,1.1905700,966
EURUSD,1,20210618,010200,1.1906700,1.1908300,1.1905000,1.1908200,657
EURUSD,1,20210618,010300,1.1907700,1.1908300,1.1906000,1.1907800,531
EURUSD,1,20210618,010400,1.1907000,1.1909100,1.1906000,1.1908500,544
EURUSD,1,20210618,010500,1.1907900,1.1909000,1.1907000,1.1908600,518
EURUSD,1,20210618,010600,1.1908500,1.1910600,1.1908000,1.1910200,589
EURUSD,1,20210618,010700,1.1910200,1.1910500,1.1908000,1.1909600,338
EURUSD,1,20210618,010800,1.1909400,1.1910000,1.1908000,1.1909600,233
EURUSD,1,20210618,010900,1.1909600,1.1911200,1.1908000,1.1911100,421
EURUSD,1,20210618,011000,1.1910000,1.1912100,1.1910000,1.1910900,677
EURUSD,1,20210618,011100,1.1911800,1.1912300,1.1910800,1.1911300,555
EURUSD,1,20210618,011200,1.1912100,1.1912400,1.1910000,1.1912100,300
EURUSD,1,20210618,011300,1.1912100,1.1912200,1.1910000,1.1911200,308
EURUSD,1,20210618,011400,1.1911200,1.1912500,1.1909000,1.1911800,419
EURUSD,1,20210618,011500,1.1912000,1.1912500,1.1910000,1.1912000,423
EURUSD,1,20210618,011600,1.1911900,1.1912000,1.1908000,1.1909600,515
EURUSD,1,20210618,011700,1.1910200,1.1911700,1.1908000,1.1909000,365
EURUSD,1,20210618,011800,1.1910000,1.1912300,1.1910000,1.1911900,417
EURUSD,1,20210618,011900,1.1911800,1.1912300,1.1910000,1.1911300,465
EURUSD,1,20210618,012000,1.1911200,1.1911500,1.1909000,1.1910800,388
EURUSD,1,20210618,012100,1.1911100,1.1911300,1.1910000,1.1911200,142
EURUSD,1,20210618,012200,1.1911200,1.1911500,1.1909000,1.1910700,438
EURUSD,1,20210618,012300,1.1910700,1.1912000,1.1909000,1.1910700,701
EURUSD,1,20210618,012400,1.1910000,1.1911000,1.1909000,1.1910700,779
EURUSD,1,20210618,012500,1.1910700,1.1911000,1.1909000,1.1910200,195
EURUSD,1,20210618,012600,1.1910300,1.1910600,1.1909000,1.1909500,120
EURUSD,1,20210618,012700,1.1910300,1.1910600,1.1908000,1.1909400,284
EURUSD,1,20210618,012800,1.1909400,1.1910300,1.1908000,1.1909700,290
EURUSD,1,20210618,012900,1.1909000,1.1910100,1.1908000,1.1909400,326
EURUSD,1,20210618,013000,1.1909200,1.1909700,1.1907000,1.1908800,260
EURUSD,1,20210618,013100,1.1908900,1.1909700,1.1907000,1.1909200,345
EURUSD,1,20210618,013200,1.1909200,1.1910200,1.1908000,1.1909700,752
EURUSD,1,20210618,013300,1.1909000,1.1910400,1.1908000,1.1910300,934
EURUSD,1,20210618,013400,1.1909000,1.1911100,1.1909000,1.1911000,444
EURUSD,1,20210618,013500,1.1910200,1.1911500,1.1909000,1.1911200,530
EURUSD,1,20210618,013600,1.1911300,1.1912300,1.1909000,1.1911900,423
EURUSD,1,20210618,013700,1.1912100,1.1913000,1.1911000,1.1912800,424
EURUSD,1,20210618,013800,1.1912000,1.1913100,1.1911000,1.1912800,284
EURUSD,1,20210618,013900,1.1912000,1.1913000,1.1911000,1.1912900,210
EURUSD,1,20210618,014000,1.1912700,1.1913000,1.1910000,1.1911700,274
EURUSD,1,20210618,014100,1.1911400,1.1912000,1.1910000,1.1911300,242
EURUSD,1,20210618,014200,1.1910700,1.1912000,1.1909000,1.1911100,256
EURUSD,1,20210618,014300,1.1911100,1.1911300,1.1909000,1.1911200,246
EURUSD,1,20210618,014400,1.1910000,1.1912100,1.1910000,1.1911700,419
EURUSD,1,20210618,014500,1.1910800,1.1912000,1.1909000,1.1910500,219
EURUSD,1,20210618,014600,1.1911200,1.1911500,1.1909000,1.1910700,301
EURUSD,1,20210618,014700,1.1911200,1.1911300,1.1908000,1.1909900,361
EURUSD,1,20210618,014800,1.1910200,1.1910200,1.1909000,1.1909700,246
EURUSD,1,20210618,014900,1.1909000,1.1910400,1.1908900,1.1909400,253
EURUSD,1,20210618,015000,1.1910000,1.1910400,1.1908000,1.1910200,255
EURUSD,1,20210618,015100,1.1910200,1.1911600,1.1909000,1.1911200,878
EURUSD,1,20210618,015200,1.1910600,1.1911700,1.1909000,1.1911200,159
EURUSD,1,20210618,015300,1.1910600,1.1912000,1.1910000,1.1910000,232
EURUSD,1,20210618,015400,1.1911700,1.1912000,1.1909000,1.1911300,344
EURUSD,1,20210618,015500,1.1910700,1.1912000,1.1909000,1.1911000,165
EURUSD,1,20210618,015600,1.1910400,1.1911800,1.1909000,1.1910800,235
EURUSD,1,20210618,015700,1.1911200,1.1911600,1.1909000,1.1911200,195
EURUSD,1,20210618,015800,1.1911200,1.1911400,1.1909000,1.1911100,142
EURUSD,1,20210618,015900,1.1911200,1.1912000,1.1910000,1.1911300,234
EURUSD,1,20210618,020000,1.1911300,1.1911700,1.1909000,1.1911200,420
EURUSD,1,20210618,020100,1.1911200,1.1912300,1.1910000,1.1911100,602
EURUSD,1,20210618,020200,1.1911200,1.1911600,1.1909000,1.1910500,224
EURUSD,1,20210618,020300,1.1910500,1.1911600,1.1909000,1.1911000,640
EURUSD,1,20210618,020400,1.1911100,1.1911400,1.1909000,1.1911200,260
EURUSD,1,20210618,020500,1.1911200,1.1912000,1.1909000,1.1911300,285
EURUSD,1,20210618,020600,1.1911300,1.1911400,1.1910000,1.1910800,191
EURUSD,1,20210618,020700,1.1910900,1.1911200,1.1910000,1.1911000,385
EURUSD,1,20210618,020800,1.1911000,1.1911500,1.1910000,1.1911000,828
EURUSD,1,20210618,020900,1.1911000,1.1911800,1.1909000,1.1911700,355
EURUSD,1,20210618,021000,1.1911700,1.1912000,1.1910000,1.1911700,249
EURUSD,1,20210618,021100,1.1911700,1.1912400,1.1911000,1.1911700,316
EURUSD,1,20210618,021200,1.1911700,1.1912200,1.1910000,1.1912100,389
EURUSD,1,20210618,021300,1.1912200,1.1912300,1.1911000,1.1911800,227
EURUSD,1,20210618,021400,1.1912000,1.1912400,1.1911000,1.1912200,197
EURUSD,1,20210618,021500,1.1912200,1.1913000,1.1911000,1.1912600,362
EURUSD,1,20210618,021600,1.1912900,1.1912900,1.1910000,1.1912400,244
EURUSD,1,20210618,021700,1.1912400,1.1912500,1.1910000,1.1911200,371
EURUSD,1,20210618,021800,1.1911500,1.1911500,1.1910000,1.1910000,250
EURUSD,1,20210618,021900,1.1910600,1.1911800,1.1909000,1.1910000,259
